"Hostname","Technique","Classification","Path","Value","Access Gained","Note","Reference","Signature","IsBuiltinBinary","IsLolbin","VTEntries"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\(default)","""C:\Users\jlouapre\AppData\Local\Aircall\Aircall.exe""","System","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=""AIRCALL.IO, INC."", O=""AIRCALL.IO, INC."", L=New York, S=New York, C=US","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\KeePass 2 PreLoad","""C:\Program Files\KeePass Password Safe 2\KeePass.exe"" --preload","System","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = E=cert@dominik-reichl.de, CN=""Open Source Developer, Dominik Reichl"", O=Open Source Developer, L=Metzingen, C=DE","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\RtkAudUService","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_b8f1bff0e3af96f2\RtkAudUService64.exe"" -background","System","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=Microsoft Windows Hardware Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Sentinel Agent","""C:\Program Files\SentinelOne\Sentinel Agent 22.2.3.402\SentinelUI.exe"" /minimized","System","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=""Sentinel Labs, Inc."", OU=""Sentinel Labs, Inc."", O=""Sentinel Labs, Inc."", L=Mountain View, S=California, C=US, SERIALNUMBER=5278570, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\SonicWallNEIdle","""C:\Program Files (x86)\SonicWall\SSL-VPN\NetExtender\NEIdle.exe""","System","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=SonicWall Inc., OU=IT Ops, O=SonicWall Inc., S=California, C=US, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US, SERIALNUMBER=6161077","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\SonicWallNetExtender","""C:\Program Files (x86)\SonicWall\SSL-VPN\NetExtender\NEGui.exe"" -hideGUI -clearReboot","System","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=SonicWall Inc., OU=IT Ops, O=SonicWall Inc., S=California, C=US, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US, SERIALNUMBER=6161077","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_USERS\S-1-12-1-2257528175-1148201141-3898706330-2528276285\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\com.squirrel.slack.slack","""C:\Users\jlouapre\AppData\Local\slack\slack.exe"" --process-start-args --startup","User","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=""Slack Technologies, Inc."", O=""Slack Technologies, Inc."", L=San Francisco, S=California, C=US","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_USERS\S-1-12-1-2257528175-1148201141-3898706330-2528276285\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\com.squirrel.Teams.Teams","C:\Users\jlouapre\AppData\Local\Microsoft\Teams\Update.exe --processStart ""Teams.exe"" --process-start-args ""--system-initiated""","User","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=Microsoft 3rd Party Application Component, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","True","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_USERS\S-1-12-1-2257528175-1148201141-3898706330-2528276285\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Docker Desktop","C:\Program Files\Docker\Docker\Docker Desktop.exe -Autostart","User","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=Docker Inc, O=Docker Inc, L=San Francisco, S=California, C=US","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_USERS\S-1-12-1-2257528175-1148201141-3898706330-2528276285\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\electron.app.Loom","C:\Users\jlouapre\AppData\Local\Programs\Loom\Loom.exe --process-start-args ""--loomHidden""","User","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = , Subject = ","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_USERS\S-1-12-1-2257528175-1148201141-3898706330-2528276285\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\KeePassXC","""C:\Program Files\KeePassXC\KeePassXC.exe""","User","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=""DroidMonkey Apps, LLC"", O=""DroidMonkey Apps, LLC"", STREET=6653 Audrey Kay Ct, L=Franconia, S=Virginia, PostalCode=22315, C=US","False","False","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_USERS\S-1-12-1-2257528175-1148201141-3898706330-2528276285\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Letsignit App","""C:\Users\jlouapre\AppData\Local\LetsignitApp\update.exe"" --processStart ""Letsignit App.exe""","User","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=Letsignit, O=Letsignit, L=Marseille, C=FR","False","True","N/A"
"PC-1101243","Registry Run Key","MITRE ATT&CK T1547.001","HKEY_USERS\S-1-12-1-2257528175-1148201141-3898706330-2528276285\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\MicrosoftEdgeAutoLaunch_B782ED7C8E829CCB2E1A4B1FC270E0A1","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start /prefetch:5","User","Executables in properties of the key (HKLM|HKEY_USERS\<SID>)\SOFTWARE\Microsoft\Windows\CurrentVersion\Run are run when the user logs in.","https://attack.mitre.org/techniques/T1547/001/","Status = Valid, Subject = CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","False","N/A"
